S' $"*"+#QIIZ 2
' $"*"E!. -1
- $"+!. -1
LETTER-A $","+#OS1A^ 334
SAMBA $"%#+#OS,%UITI1SA"M-B* 334
MARIMBA $"%"+#OSM*-1RIM-B* 334
CUBA $","+#OS1KYU"-B* 334
TUBA $"%"+#OS1TU"-B* 334
MECCA $"%"+#OS1MEK-* 334
YUCCA $"%"+#OS1Y*K-* 334
OITICICA $"%"+#OS2O'IT-*-1SE^-K* 334
ANGELICA $"%"+#OSAN-1JEL-I-K* 334
SILICA $"%"+#OS1SIL-I-K* 334
REPLICA $"%"+#OS1REP-LI-K* 334
MICA $"%"+#OS1MI^-K* 334
HARMONICA $"%"+#OS2HA"R-1MA"N-I-K* 334
VERONICA $"%"+#OSV*-1RA"N-I-K* 334
ARNICA $"%"+#OS1A"R-NI-K* 334
AMERICA $","+#OS*-1MER-*-K* 334
AFRICA $","+#OS1AF-RI-K* 334
BRASSICA $"%"+#OS1BRAS-I-K* 334
SCIATICA $"%"+#OSSI^-1AT-I-K* 334
EROTICA $"("+#OTI-1RA"T-I-K* 334
CIRCA $","/!1S*R-K* 334
NOCTILUCA $"%"+#OS2NA"K-T*-1LU"-K* 334
CICADA $"%"+#OSS*-1KA^D-* 334
DADA $"%"+#OS1DA"D-A" 334
ARMADA $"%"+#OSA"R-1MA"D-* 334
CANADA $","+#OS1KAN-*D-* 334
PROPAGANDA $"%"+#OS2PRA"P-*-1GAN-D* 334
VERANDA $"%"+#OSV*-1RAN-D* 334
MEMORANDA $"("+#OT2MEM-*-1RAN-D* 334
AGENDA $"%"+#OS*-1JEN-D* 334
ANACONDA $"%"+#OS2AN-*-1KA"N-D* 334
ROTUNDA $"%"+#OSRO^-1T*N-D* 334
PAGODA $"%"+#OSP*-1GO^D-* 334
SODA $"%"+#OS1SO^D-* 334
REMUDA $"%"+#OSRI-1MU"D-* 334
PROPYLAEA $"("+#OT2PRA"P-*-1LE^-* 334
PANACEA $"%"+#OS2PAN-*-1SE^-* 334
IDEA $"%"+#OSI^-1DE^-* 334
TRACHEA $"%"+#OS1TRA^-KE^-* 334
DIARRHEA $"%"+#OS2DI^-*-1RE^-* 45
PYORRHEA $"%"+#OS2PI^-*-1RE^-* 45
RHEA $"%"+#OS1RE^-* 334
ALTHEA $"%"+#OSAL-1THE^-* 334
AZALEA $"%"+#OS*-1ZA^L-Y* 334
FLEA $"%"+#OS1FLE^ 334
PLEA $"%"+#OS1PLE^ 334
GUINEA $"%"+#OS1GIN-E^ 334
DIARRHOEA $"%"+#OS2DI^-*-1RE^-* 334
PEA $"%"+#OS1PE^ 334
AREA $"%"+#OS1AR-E^-* 334
UREA $"%"+#OSYU'-1RE^-* 334
UNDERSEA $"%#-!.%^I_I2*N-D*R-1SE^ 57
NAUSEA $"%"+#OS1NO'-ZE^-* 57
SEA $"%"+#OS1SE^ 334
TEA $"%"+#OS1TE^ 334
YEA $",#-!+#OS1YA^ 334
SOFA $"%"+#OS1SO^-F* 334
RUTABAGA $"%"+#OS2RU"T-*-1BA^-G* 334
SAGA $"%"+#OS1SA"G-* 334
OMEGA $","+#OSO^-1MEG-* 334
SYRINGA $"%"+#OSS*-1RIN_-G* 334
YOGA $"%"+#OS1YO^-G* 334
ALPHA $"%#+#OS-!1AL-F* 71
APOCRYPHA $"%"+#OS*-1PA"K-R*-F* 71
PASHA $"%"+#OS1PA"SH-* 71
GEISHA $"%"+#OS1GE^-SH* 71
BERTHA $"%"+#OS1B*R-TH* 71
HA $","F!1HA" 334
ANGLOPHOBIA $"%"+#OS2AN_-GL*-1FO^-BE^-* 334
XENOPHOBIA $"%"+#OS2ZEN-*-1FO^-BE^-* 334
HYDROPHOBIA $"%"+#OS2HI^-DR*-1FO^-BE^-* 334
CLAUSTROPHOBIA $"%"+#OS2KLO'S-TR*-1FO^-BE^-* 334
SUBURBIA $"%"+#OSS*-1B*R-BE^-* 334
ACACIA $"%"+#OS*-1KA^-SH* 334
MEDIA $",#+#OT+#OS1ME^D-E^-* 334
ENCYCLOPEDIA $"%"+#OSIN-2SI^-KL*-1PE^D-E^-* 334
INDIA $"%"+#OS1IN-DE^-* 334
PHARMACOPOEIA $"%"+#OS2FA"R-M*-K*-1PE^-* 334
PROSOPOPOEIA $"%"+#OSPR*-2SO^-P*-1PE^-* 334
NEURALGIA $"%"+#OSNU'-1RAL-J* 334
NOSTALGIA $"%"+#OSN*-1STAL-J* 334
APOLOGIA $"%"+#OS2AP-*-1LO^-JE^-* 334
GEORGIA $","+#OS1JO'R-J* 334
PHILADELPHIA $","+#OS2FIL-*-1DEL-FE^-* 334
REGALIA $"%"+#OSRI-1GA^L-Y* 334
PARAPHERNALIA $"%#+#OS+#OT2PAR-*-F*-1NA^L-Y* 334
MEMORABILIA $"%"+#OS2MEM-*-R*-1BIL-Y* 334
CAMELLIA $"%"+#OSK*-1ME^L-Y* 334
MAGNOLIA $"%"+#OSMAG-1NO^L-Y* 334
LEUKEMIA $"%"+#OSLU"-1KE^-ME^-* 334
ANEMIA $"%"+#OS*-1NE^-ME^-* 334
TULAREMIA $"%"+#OS2TU"-L*-1RE^-ME^-* 334
HYPEREMIA $"%"+#OS2HI^-P*-1RE^-ME^-* 334
UREMIA $"%"+#OSYU'-1RE^-ME^-* 334
MEGALOMANIA $"%"+#OS2MEG-*-LO^-1MA^-NE^-* 99
MANIA $"%"+#OS1MA^-NE^-* 334
PENNSYLVANIA $","+#OS2PEN-S*L-1VA^-NY* 334
GARDENIA $"%"+#OSGA"R-1DE^-NY* 334
XENIA $"%"+#OS1ZE^-NE^-* 334
VIRGINIA $","+#OSV*R-1JIN-Y* 334
INSOMNIA $"%"+#OSIN-1SA"M-NE^-* 334
MILLENNIA $"("+#OTM*-1LEN-E^-* 334
PNEUMONIA $"%"+#OSNU'-1MO^-NY* 334
CATATONIA $"%"+#OS2KAT-*-1TO^-NE^-* 334
CALIFORNIA $","+#OS2KAL-*-1FO'R-NY* 334
SEQUOIA $"%"+#OSSI-1KWO'I-* 334
SEPIA $"%"+#OS1SE^-PE^-* 334
PRINCIPIA $"("+#OTPRIN_-1KIP-E^-* 334
CORNUCOPIA $"%"+#OS2KO'R-N*-1KO^-PE^-* 334
UTOPIA $"%"+#OSYU'-1TO^-PE^-* 334
MYOPIA $"%"+#OSMI^-1O^-PE^-* 334
MALARIA $"%"+#OSM*-1LER-E^-* 334
MYCOBACTERIA $"("+#OT2MI^-KO^-2BAK-1TIR-E^-* 117
BACTERIA $"("+#OTBAK-1TIR-E^-* 334
CAFETERIA $"%"+#OS2KAF-*-1TIR-E^-* 334
CRITERIA $"("+#OTKRI^-1TIR-E^-* 334
ASTERIA $"%"+#OSA-1STIR-E^-* 334
HYSTERIA $"%"+#OSHIS-1TER-E^-* 334
EUPHORIA $"%"+#OSYU'-1FO^R-E^-* 334
VICTORIA $"%"+#OSVIK-1TO^R-E^-* 334
CURIA $"%"+#OS1KYU'R-E^-* 334
HYPERPLASIA $"%"+#OS2HI^-P*R-1PLA^-ZH* 128
DYSPLASIA $"%"+#OSDIS-1PLA^-ZH* 128
FANTASIA $"%"+#OSFAN-1TA^-ZH* 128
ASIA $","+#OS1A^-ZH* 334
